date;sales;internet_media;tv
01.01.2020;8098;0;0
01.02.2020;6074;0;0
01.03.2020;2668;0;0
01.04.2020;0;0;0
01.05.2020;0;0;0
01.06.2020;0;0;0
01.07.2020;0;0;0
01.08.2020;0;0;0
01.09.2020;0;0;0
01.10.2020;0;0;0
01.11.2020;0;0;0
01.12.2020;0;0;0
01.01.2021;43933;298314;15736852
01.02.2021;45481;221573;0
01.03.2021;42718;118842;0
01.04.2021;26373;45235;0
01.05.2021;20669;0;0
01.06.2021;13194;0;0
01.07.2021;10557;0;12772922
01.08.2021;11738;0;26031266
01.09.2021;16503;0;0
01.10.2021;10857;407742;28253577
01.11.2021;10532;248417;32015844
01.12.2021;9847;2565298;38578899
01.01.2022;47166;272544;59153072
01.02.2022;45241;219358;31321771
01.03.2022;31892;0;51511648
01.04.2022;32852;0;62496384
01.05.2022;36715;0;39341621
01.06.2022;41410;0;42787422
01.07.2022;29170;0;36244002
01.08.2022;22463;0;32896157
01.09.2022;22926;0;0
01.10.2022;33737;0;0
01.11.2022;35635;0;42923871
01.12.2022;42293;0;32143970
