date;sales;internet_media;tv
01.07.2021;10557;0;12772922
01.08.2021;11738;0;26031266
01.09.2021;16503;0;0
01.10.2021;10857;407742;28253577
01.11.2021;10532;248417;32015844
01.12.2021;9847;2565298;38578899
01.01.2022;47166;272544;59153072
01.02.2022;45241;219358;31321771
01.03.2022;31892;0;51511648
01.04.2022;32852;0;62496384
01.05.2022;36715;0;39341621
01.06.2022;41410;0;42787422
01.07.2022;29170;0;36244002
01.08.2022;22463;0;32896157
01.09.2022;22926;0;0
01.10.2022;33737;0;0
01.11.2022;35635;0;42923871
01.12.2022;42293;0;32143970
